household_id,age,gender,education_yrs,household_size,land_size_ha,years_growing_cannabis,distance_to_anrac_km,prior_arrests,household_income_usd,income_post_law_usd,info_access_legal,irrigation_access,food_security,joined_legal_cooperative,willing_stay_legal,income_change_pct,log_income,edu_secondary,any_prior_arrest,distance_quartile,region_Chefchaouen,region_Ouazzane,survey_year,macro_gdp_per_capita,macro_agri_value_added,macro_rural_population,anrac_legal_hectares,anrac_total_licenses,anrac_cooperatives,anrac_pct_legal
130,49,Male,0,9,1.47,20,50.6,2,2210.0,1967.0,1,0,1,0,,-11.0,7.701200180857446,0,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
131,55,Female,12,5,3.38,29,56.1,1,3574.0,3859.0,0,1,3,0,,7.97,8.181720455128108,1,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
132,34,Male,9,7,1.19,32,37.1,2,1625.0,1525.0,1,0,3,0,,-6.15,7.3938782901077555,1,1,Q2,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
133,26,Male,0,8,2.0,23,51.9,3,3774.0,3990.0,1,0,1,0,,5.72,8.236155661683124,0,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
134,26,Male,6,10,0.44,22,57.3,0,827.0,883.0,1,1,1,0,,6.77,6.71901315438526,1,0,Q4_furthest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
135,59,Male,15,2,0.26,16,27.7,2,534.0,494.0,0,0,2,0,,-7.49,6.282266746896006,1,1,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
136,55,Male,6,10,0.13,4,72.0,0,400.0,433.0,1,1,2,0,,8.25,5.993961427306569,1,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
137,43,Male,6,5,0.1,29,31.0,0,400.0,439.0,1,0,2,0,,9.75,5.993961427306569,1,0,Q2,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
138,42,Female,3,3,1.36,10,59.7,0,1414.0,1496.0,0,1,2,0,,5.8,7.254884810077338,0,0,Q4_furthest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
139,66,Male,6,9,2.15,31,61.6,1,2476.0,2923.0,1,0,2,1,0.0,18.05,7.814803429489359,1,1,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
140,46,Male,0,8,0.72,35,19.1,1,1295.0,1397.0,1,0,1,0,,7.88,7.16703787691222,0,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
141,37,Male,0,4,0.64,2,50.7,3,1159.0,995.0,0,0,3,0,,-14.15,7.05617528410041,0,1,Q3,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
142,37,Male,3,11,0.49,40,14.0,0,1184.0,1239.0,0,0,3,0,,4.65,7.077498053569231,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
143,53,Male,3,2,2.01,20,55.4,1,1317.0,1205.0,0,0,3,0,,-8.5,7.183870715062453,0,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
144,52,Female,6,10,0.34,42,65.0,0,952.0,949.0,0,0,1,0,,-0.32,6.859614903654202,1,0,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
145,65,Female,9,2,0.29,31,39.4,0,400.0,426.0,1,0,1,0,,6.5,5.993961427306569,1,0,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
146,34,Male,3,11,0.69,3,36.8,1,1376.0,1463.0,1,1,1,0,,6.32,7.227662498728655,0,1,Q2,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
147,34,Male,6,7,0.1,36,44.3,1,400.0,414.0,0,0,2,0,,3.5,5.993961427306569,1,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
148,61,Male,12,8,0.37,4,26.5,0,400.0,377.0,0,0,2,0,,-5.75,5.993961427306569,1,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
149,36,Male,12,7,1.51,43,65.3,1,2590.0,2421.0,0,0,1,0,,-6.53,7.85979918056211,1,1,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
150,44,Male,6,7,1.12,13,21.5,0,1362.0,1482.0,1,0,2,0,,8.81,7.217443431696533,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
151,49,Male,9,6,2.61,37,58.0,0,2405.0,3014.0,1,0,3,1,1.0,25.32,7.785720896534624,1,0,Q4_furthest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
152,72,Male,3,3,0.1,21,40.7,2,400.0,372.0,0,0,1,0,,-7.0,5.993961427306569,0,1,Q2,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
153,62,Female,0,2,1.74,28,30.9,1,2022.0,2109.0,1,1,3,0,,4.3,7.612336837167746,0,1,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
154,27,Female,12,3,0.26,26,50.4,3,491.0,679.0,1,0,3,1,1.0,38.29,6.198478716492308,1,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
155,49,Female,3,3,3.6,17,42.3,0,4147.0,6085.0,0,0,3,1,0.0,46.73,8.330381569349418,0,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
156,61,Male,12,2,0.39,42,53.3,0,400.0,381.0,1,1,2,0,,-4.75,5.993961427306569,1,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
157,41,Male,9,11,1.0,27,43.6,1,1341.0,1149.0,0,0,2,0,,-14.32,7.201916317531627,1,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
158,35,Male,0,2,0.1,2,33.5,2,400.0,416.0,1,0,2,0,,4.0,5.993961427306569,0,1,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
159,58,Female,12,5,0.79,43,77.8,0,847.0,767.0,1,0,1,0,,-9.45,6.742880635791903,1,0,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
160,42,Female,3,8,0.88,43,38.6,0,517.0,440.0,0,0,2,0,,-14.89,6.249975242259483,0,0,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
161,58,Male,0,3,0.13,38,54.2,2,400.0,373.0,0,1,2,0,,-6.75,5.993961427306569,0,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
162,65,Male,3,11,0.1,7,63.3,1,400.0,344.0,0,1,2,0,,-14.0,5.993961427306569,0,1,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
163,27,Female,0,10,0.82,2,10.9,1,1245.0,1602.0,1,0,3,1,0.0,28.67,7.1276936993473985,0,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
164,61,Male,6,2,0.1,4,38.4,0,400.0,364.0,0,1,3,0,,-9.0,5.993961427306569,1,0,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
165,32,Female,6,11,0.21,36,57.4,0,400.0,420.0,1,0,1,0,,5.0,5.993961427306569,1,0,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
166,68,Male,0,2,0.28,38,41.0,0,400.0,363.0,1,1,2,0,,-9.25,5.993961427306569,0,0,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
167,69,Female,6,4,0.26,24,78.9,3,403.0,403.0,1,0,3,0,,0.0,6.0014148779611505,1,1,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
168,37,Female,9,3,1.28,11,46.6,1,2201.0,2614.0,1,0,2,1,1.0,18.76,7.697121317282625,1,1,Q3,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
169,62,Male,9,9,1.85,36,42.7,1,1493.0,1450.0,0,1,3,0,,-2.88,7.309212365692763,1,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
170,53,Male,6,8,1.24,31,19.5,2,2388.0,2054.0,0,0,3,0,,-13.99,7.77863014732581,1,1,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
171,55,Male,6,2,0.76,38,29.4,0,942.0,866.0,1,1,1,0,,-8.07,6.849066282633458,1,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
172,45,Male,9,8,2.4,19,47.9,0,3944.0,4064.0,1,0,1,0,,3.04,8.280204233279974,1,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
173,39,Male,12,4,1.42,11,34.8,0,2214.0,2384.0,0,1,3,0,,7.68,7.703007682479236,1,0,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
174,73,Male,9,6,0.1,24,78.4,1,400.0,424.0,0,1,3,0,,6.0,5.993961427306569,1,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
175,42,Female,6,2,0.1,19,10.6,2,400.0,403.0,0,1,3,0,,0.75,5.993961427306569,1,1,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
176,41,Male,3,10,0.1,39,21.2,2,400.0,383.0,1,0,1,0,,-4.25,5.993961427306569,0,1,Q1_nearest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
177,28,Male,9,4,0.81,10,57.7,3,884.0,799.0,0,0,3,0,,-9.62,6.785587645007929,1,1,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
178,42,Female,9,5,0.91,18,17.2,0,916.0,899.0,0,0,2,0,,-1.86,6.821107472256465,1,0,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
179,67,Female,3,3,0.52,34,56.2,1,711.0,702.0,1,0,2,0,,-1.27,6.568077911411976,0,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
180,69,Male,12,6,0.5,36,26.1,0,805.0,755.0,0,1,1,0,,-6.21,6.692083742506628,1,0,Q2,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
181,61,Male,3,9,2.57,14,25.0,3,4072.0,4056.0,0,1,3,0,,-0.39,8.312135107648412,0,1,Q1_nearest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
182,59,Female,9,6,0.38,14,40.0,2,621.0,676.0,0,1,3,0,,8.86,6.432940092739179,1,1,Q2,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
183,44,Male,9,8,1.23,4,9.6,0,1772.0,1874.0,1,1,2,0,,5.76,7.480428306074208,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
184,37,Male,9,3,0.39,14,54.3,0,537.0,478.0,0,1,2,0,,-10.99,6.2878585601617845,1,0,Q3,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
185,59,Male,6,2,1.37,37,71.2,0,2540.0,2604.0,1,1,1,0,,2.52,7.840312983320164,1,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
186,41,Male,0,3,1.24,4,26.7,1,2434.0,2403.0,1,1,3,0,,-1.27,7.79770203551669,0,1,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
187,28,Male,0,6,0.73,42,17.1,1,974.0,1021.0,1,1,3,0,,4.83,6.882437470997847,0,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
188,26,Male,6,6,0.1,2,14.9,0,400.0,429.0,1,1,1,0,,7.25,5.993961427306569,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
189,51,Male,3,6,1.14,4,31.6,2,1394.0,1822.0,0,1,3,1,1.0,30.7,7.240649694255466,0,1,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
190,61,Male,15,6,3.09,26,38.2,1,5155.0,4622.0,1,1,1,0,,-10.34,8.547916364059079,1,1,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
191,69,Male,6,9,3.12,8,75.1,0,3509.0,3238.0,0,0,1,0,,-7.72,8.163371316459912,1,0,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
192,34,Male,12,2,1.33,43,75.6,0,1493.0,1344.0,1,1,2,0,,-9.98,7.309212365692763,1,0,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
193,61,Male,9,9,2.43,25,36.3,0,2956.0,3659.0,1,0,3,1,0.0,23.78,7.9919305198524775,1,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
194,65,Male,6,6,0.37,9,53.3,0,658.0,650.0,1,1,1,0,,-1.22,6.490723534502507,1,0,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
195,62,Female,12,11,3.94,19,78.7,0,4432.0,3911.0,0,0,2,0,,-11.76,8.396831834745054,1,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
196,55,Male,6,11,2.19,28,53.5,0,3401.0,3740.0,0,1,2,0,,9.97,8.132118772955806,1,0,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
197,39,Male,6,11,1.45,44,22.1,0,2211.0,1965.0,0,0,1,0,,-11.13,7.701652362642226,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
198,47,Female,9,5,0.1,16,18.0,1,447.0,392.0,1,1,3,0,,-12.3,6.104793232414985,1,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
199,41,Male,6,5,0.77,22,11.3,0,883.0,900.0,0,1,2,0,,1.93,6.784457062637643,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
200,60,Male,6,10,0.3,5,49.7,2,400.0,437.0,1,1,3,0,,9.25,5.993961427306569,1,1,Q3,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
201,69,Male,6,3,0.61,25,52.6,1,540.0,473.0,1,1,3,0,,-12.41,6.293419278846481,1,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
202,62,Male,12,8,0.51,26,24.8,1,400.0,432.0,0,0,3,0,,8.0,5.993961427306569,1,1,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
203,62,Male,3,7,0.86,41,14.4,0,1114.0,1024.0,1,1,3,0,,-8.08,7.016609683894219,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
204,67,Male,9,5,0.54,2,31.2,0,641.0,700.0,1,1,2,0,,9.2,6.464588303689961,1,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
205,59,Male,6,11,3.4,30,75.5,3,5897.0,5981.0,0,1,2,0,,1.42,8.682368589375221,1,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
206,60,Male,6,2,1.33,26,32.8,1,1107.0,1130.0,1,0,1,0,,2.08,7.010311867307229,1,1,Q2,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
207,55,Male,9,10,1.06,32,38.0,0,1285.0,1226.0,1,1,2,0,,-4.59,7.1592919047975645,1,0,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
208,35,Male,0,7,3.05,28,21.4,0,4637.0,4192.0,1,0,2,0,,-9.6,8.442038517815478,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
209,28,Male,9,4,0.18,1,14.4,1,400.0,391.0,0,0,2,0,,-2.25,5.993961427306569,1,1,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
210,60,Male,0,11,3.44,3,66.2,1,5717.0,5246.0,0,0,2,0,,-8.24,8.651374372882257,0,1,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
211,67,Male,12,8,1.55,25,42.0,1,2158.0,1930.0,1,0,1,0,,-10.57,7.677400430514807,1,1,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
212,30,Male,3,6,0.59,34,51.5,0,766.0,783.0,0,1,3,0,,2.22,6.642486801367256,0,0,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
213,66,Male,6,9,0.54,26,27.9,2,710.0,699.0,0,0,3,0,,-1.55,6.566672429803241,1,1,Q2,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
214,27,Female,9,5,1.34,23,50.0,0,965.0,892.0,0,1,2,0,,-7.56,6.873163834212518,1,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
215,41,Male,6,2,0.85,12,40.8,1,1101.0,1549.0,1,0,2,1,0.0,40.69,7.00488198971286,1,1,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
216,36,Male,9,8,3.38,12,21.9,0,5576.0,4952.0,0,0,1,0,,-11.19,8.626406276389554,1,0,Q1_nearest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
217,63,Male,9,6,0.93,38,25.8,1,886.0,850.0,0,0,2,0,,-4.06,6.787844982309579,1,1,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
218,69,Female,3,2,1.47,4,20.1,0,1223.0,1172.0,1,0,3,0,,-4.17,7.1098794630722715,0,0,Q1_nearest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
219,47,Female,9,4,0.68,19,23.9,0,870.0,1300.0,1,0,3,1,1.0,49.43,6.769641976852503,1,0,Q1_nearest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
220,60,Male,12,5,2.48,3,45.5,1,3237.0,4153.0,1,0,2,1,1.0,28.3,8.08271113423758,1,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
221,65,Male,9,11,2.14,43,51.9,0,3405.0,3256.0,0,0,3,0,,-4.38,8.133293861222633,1,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
222,35,Female,0,10,1.91,31,28.3,1,2315.0,2115.0,1,0,2,0,,-8.64,7.7475968386928855,0,1,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
223,28,Female,9,10,1.02,29,81.5,0,1676.0,1641.0,0,0,2,0,,-2.09,7.424761761823209,1,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
224,61,Male,6,4,0.1,28,59.9,0,400.0,431.0,1,1,3,0,,7.75,5.993961427306569,1,0,Q4_furthest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
225,49,Female,0,7,0.43,24,32.3,0,478.0,409.0,1,1,2,0,,-14.44,6.171700597410915,0,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
226,58,Female,0,10,0.42,12,70.8,0,1003.0,1055.0,0,1,1,0,,5.18,6.911747300251674,0,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
227,69,Male,9,9,0.45,35,12.5,1,533.0,566.0,1,1,3,0,,6.19,6.280395838960195,1,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
228,28,Female,9,6,2.07,43,43.1,0,2242.0,2162.0,1,1,2,0,,-3.57,7.715569534520208,1,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
229,65,Male,12,10,0.76,19,35.3,0,1240.0,1957.0,0,1,3,1,1.0,57.82,7.123672785204607,1,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
230,49,Male,6,6,1.45,27,15.7,0,1569.0,1966.0,0,0,2,1,1.0,25.3,7.358830898342354,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
231,27,Male,0,5,3.52,34,69.8,1,5700.0,5168.0,0,1,2,0,,-9.33,8.648396877031582,0,1,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
232,55,Male,6,3,1.29,14,89.2,2,1741.0,1824.0,0,0,1,0,,4.77,7.462789157412448,1,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
233,31,Male,9,7,2.85,24,6.5,1,4627.0,4909.0,1,0,2,0,,6.09,8.439880088313567,1,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
234,50,Male,9,10,1.62,7,22.2,1,2087.0,1854.0,0,0,2,0,,-11.16,7.643961949002529,1,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
235,59,Male,6,6,2.37,15,90.9,0,3246.0,3562.0,0,0,3,0,,9.74,8.085486772102845,1,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
236,57,Female,15,7,0.73,21,47.6,1,1265.0,1885.0,1,1,3,1,1.0,49.01,7.143617602704121,1,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
237,35,Male,6,10,2.43,29,75.9,0,3473.0,3131.0,1,0,3,0,,-9.85,8.153061946801051,1,0,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
238,70,Male,0,4,0.82,14,68.0,0,1118.0,1181.0,0,0,2,0,,5.64,7.020190708311925,0,0,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
239,41,Female,0,7,0.1,41,39.2,0,400.0,407.0,0,0,3,0,,1.75,5.993961427306569,0,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
240,62,Male,9,7,0.97,32,11.7,1,485.0,439.0,1,0,2,0,,-9.48,6.186208623900494,1,1,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
241,47,Male,9,4,4.46,42,10.5,2,6147.0,6271.0,0,0,3,0,,2.02,8.723882104658486,1,1,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
242,29,Male,9,7,1.16,44,63.9,0,1640.0,1456.0,1,0,2,0,,-11.22,7.403061091090091,1,0,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
243,62,Male,12,7,0.38,31,42.4,2,644.0,707.0,1,0,3,0,,9.78,6.4692503167957724,1,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
244,54,Male,9,5,1.65,27,59.6,2,1787.0,1636.0,1,0,2,0,,-8.45,7.488852955733459,1,1,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
245,73,Male,6,8,0.54,18,65.9,2,400.0,399.0,1,1,2,0,,-0.25,5.993961427306569,1,1,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
246,38,Male,0,8,1.84,24,21.2,0,2214.0,1951.0,1,1,2,0,,-11.88,7.703007682479236,0,0,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
247,74,Male,6,10,0.26,44,21.7,0,400.0,402.0,0,1,1,0,,0.5,5.993961427306569,1,0,Q1_nearest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
248,58,Female,12,11,0.77,20,68.6,2,1302.0,1353.0,1,0,2,0,,3.92,7.172424577124845,1,1,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
249,51,Male,9,5,0.96,28,24.4,0,1014.0,1569.0,1,1,2,1,1.0,54.73,6.922643891475888,1,0,Q1_nearest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
250,34,Male,0,4,0.1,37,40.9,0,471.0,510.0,1,0,2,0,,8.28,6.156978985585555,0,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
251,59,Male,12,4,1.44,25,29.6,0,1409.0,2112.0,1,0,3,1,1.0,49.89,7.251344983372214,1,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
252,48,Male,3,4,1.47,31,53.9,0,2038.0,3052.0,0,0,3,1,1.0,49.75,7.620214770574455,0,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
253,64,Female,6,4,1.75,35,76.4,0,2192.0,2014.0,1,1,1,0,,-8.12,7.693025748417888,1,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
254,41,Female,12,5,5.33,8,32.1,1,7756.489999999999,10745.0,1,0,2,1,1.0,38.53,8.956414107246616,1,1,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
255,47,Male,12,9,0.43,12,64.4,0,404.0,416.0,1,1,3,0,,2.97,6.003887067106539,1,0,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
256,68,Female,9,11,0.1,21,39.3,2,400.0,423.0,1,0,2,0,,5.75,5.993961427306569,1,1,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
257,31,Female,0,11,0.2,8,58.3,0,400.0,402.0,1,1,1,0,,0.5,5.993961427306569,0,0,Q4_furthest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
258,69,Male,3,2,3.69,4,56.7,0,3732.0,4012.0,1,1,3,0,,7.5,8.224967478914584,0,0,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
259,56,Female,3,2,0.28,10,9.2,0,400.0,416.0,0,1,1,0,,4.0,5.993961427306569,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
260,68,Male,6,6,1.21,42,36.0,1,2122.0,3279.0,1,1,3,1,0.0,54.52,7.660585461703256,1,1,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
261,31,Female,3,5,1.22,21,49.7,1,1284.0,1147.0,1,0,2,0,,-10.67,7.158513997329321,0,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
